# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
上官經,上官徑
上官藎,忠赤,節愍
上官藻,聖發
上官融,仲川
上官謐,安國
上官謨,際亭
上官豫,條山,篠山,蓧山
上官鉉,雲立
上官鉝,三立,松石,松筠,誠正齋,雲立
上官銓,衡父
上官鑒,炳千,金之
上志,宗道
上泰,志同
不忽木,文貞,時用,用臣,靜得
不花,帖木兒
不花帖木兒,德新
不花禿,卜花禿
不蘭奚,賜姓張
不魯古歹,守道
丑厮,靜如
丑的,子元,春野
丑閭,時中
且樂,白瑩
丕爾敦,丕爾墩
世傑班,彥時
世愚,傑峰
世榮,仁甫,耀東
世焜,世琨,顯侯
世祿,漢閣
世臣,嵩喬,木天
丘䱷,丘獻,渭夫
丘一中,履常
丘上卿,陪之
丘世喬,民望
丘世榮,仁里
丘世良,子正
丘丹,丘二十二
丘之奇,邱之奇
丘九仞,時進,百三
丘似我,丘似
丘何,漢規
丘俊,漢英
丘俊孫,德峻,顧之
丘允,執中
丘元鎮,士安
丘元龍,肖翁
丘兆麟,太丘,毛伯,毛信
丘光業,庚村
丘其仁,主靜
丘升,成叔
丘和,國瑞
丘哲,元明
丘唐傑,景文
丘嘉穗,秀瑞
丘園,嶼雪,烏丘山人
丘園卜,枚先
丘坦,長儒,長孺
丘夢周,克明
丘大猷,子訥
丘天祐,恆吉
丘奐,明遠
丘定夫,景游
丘富國,行可
丘履嘉,原禮,存峰
丘山,安重
丘岳,南鎮,子瞻
丘峻,惟渉
丘崇,子陵
丘崈,宗卿,忠定
丘嵩,崇高,嵩高,養心
丘師陶,鈞父
丘度,汝洪
丘弘,寛叔,寬叔,邱弘
丘彝,邱彝
丘從直,安長,正甫
丘微之,夢錫
丘志廣,弘區,粟海,蝶庵
丘慶餘,丘餘慶
丘應方,伯瞻
丘應辰,詠性,詠聖
丘懋煒,以鄂,肯貽
丘承祖,克紹
丘敦,一成,必學齋
丘敷,禹文
丘文學,子晉
丘方,正叔
丘昇,仲韋,查昇
丘時中,拙叟
丘有嵓,孔觀
丘朝俊,叔文
丘楠,彥材
丘橓,懋實,月林先生,簡肅,茂實,邱橓
丘殿愛,國銘
丘民仰,忠節,邱民仰,長白
丘民瞻,天民,為明
丘民範,汝中
丘民貴,仲鶴,伯畏,曾城
丘汝材,德甫
丘汝良,五二,民牧
丘泰,守嚴
丘浙,子東
丘浚,道源
丘漸,子木,木居
丘濬,道源
丘牧,子謙
丘玳,文玉
丘珏,玉甫
丘瑜,德如,鞠懷
丘瑟如,六一
丘璐,仲玉
丘瓚,獻卿
丘畋,聖夫
丘登,明甫
丘相,廷佐
丘省,公省
丘眺,子高
丘石常,子稟,楚村,海石
丘礪,師說
丘祖德,念修,邱祖德
丘福,淇國公
丘禾實,登之
丘秉文,鳴周
丘稅,為高
丘程,富沙,憲古
丘經,正夫
丘維屏,邦士
丘維賢,念先
丘緒,繼先
丘緯,世章
丘義,子野,芹溪,通濟,道濟
丘翔,元鳳
丘耒,少潛
丘膺,公兖,子服
丘茂中,子時
丘茂華,邱茂華
丘葵,吉甫,釣磯翁
丘蘊,懷藝
丘處機,通密,長春子
丘說,丘悅
丘象升,曙戒
丘象隨,季曾,季貞,西軒
丘賁,丘貫
丘輔仁,友文
丘迪,彥啟
丘迪嚞,惠叔
丘道隆,練塘
丘達道,和仲
丘遲,希範
丘鄰察,康僖
丘鍾仁,近夫,顯若
丘鐸,文振
丘陵,志高,芸菴
丘雲章,伯卿
丘雲霄,凌漢,止山
丘霽,時雍
丘預達,若夫,若孚,荊野
丘養浩,以義,集齋
丘騰,子雲
丘高,邱高
丘鬳,臣甫
丘鱗,啟潛,起潛
丘鵬,志弘
丘齊雲,汝謙,謙之
严复,严几道,几道,又陵,尊疑,尺庵
中顒錦,禺山
丹巴多爾濟,丹巴多爾吉
丹忠,額爾德尼濟農
丹達禮,圖南
乃蠻台,忠穆
久住,敬齋
乘著,太質
乙瑄,崇璧
乙邦才,奇山,烈愍
九十,子陽
乞台薩理,通敏
也先不花,文貞
也先帖木兒,有開
也先溥化,西英
也先脫因,仲禮
也兒吉尼,尚文
也帖谷不花,文彬
也憐帖木,文卿
也柳干,桓毅
也速䚟兒,武襄
也速台兒,顯敏
也速歹兒,謙用
也速該,烈祖,神元皇帝
也里不花,仲實
也黑迭兒,忠敏
乾隆,弘历,爱新觉罗·弘历,清高宗
于丕基,廣田
于世燦,日宣,東岩
于之大,乾度,游伯
于之挺,東海
于九思,有卿
于仕廉,元貞,振方
于仙齡,雲溪
于令淓,方石,箕來
于作霖,濰濱,肖形
于修儒,予晉
于偃,攸宜
于元培,澥峯
于元鼎,仲實
于兆,計然
于光,大用
于光華,惺介,晴川
于克家,于克襄
于克明,世彬
于克襄,于克家,蓮亭
于公策,豆廬主人
于其珣,白華,蓉浦
于冕,景瞻
于凌辰,啟運,蓮舫
于則仕,立翁
于博,于愽,于溥
于卿保,邗仙,邗山
于受慶,益齋
于可託,阿輔,龍河
于啟璋,靜媛
于嗣宗,德元
于嗣昌,文侯
于嗣登,岱仙
于嘉玉,疇五
于囗恭,履揖
于國士,秀甫
于坦,尚平
于士恭,履揖
于士琦,景莽,景葊
于士褀,景莽,景葊
于壽昌,湘帆
于大本,德中
于大猷,徽本
于大節,守正
于天經,克孝,敘吾
于奕正,于繼魯,司直,樸園
于孔兼,元時,景素
于學謐,小晉,靖之
于宏毅,浩卿
于宗堯,二巍
于宗潼,梓生,紫笙,西園
于宗瑛,英玉
于宗綬,少亭,紫卿
于定一,謹懷
于宣,世達
于寶之,紹香
于尚範,承範
于尚齡,揚軒,磻溪
于尹躬,于允躬
于岳,孟高
于崇,宗山
于崇敕,丹符
于希明,友諒,曉窗
于庫里恩銘,忠愍,新甫
于庭春,元之
于庭頤,耆英
于廣,天如
于廷寅,十六,曹峯,貳卿
于廷煛,小垣
于廷熊,元仲
于建章,殿侯,殿候
于式枚,文和,晦若,穗生
于從濂,希周,靜專
于德培,修吉
于德文,煥卿
于德昌,子順
于德濬,沁泉
于志可,顯道
于志寧,仲謐
于思某,惟敬
于思緝,一山
于恆吉,叔方
于恕,忠甫
于惟銹,龍川
于愼思,無妄,航隱
于愼行,可遠,文定,無垢
于愼言,冲白,無擇
于慎行,可遠,文定,榖山,榖峰,無垢,無姤,籍見
于慶元,復齋,貞甫
于慶長,庚有
于應雷,震卿
于懋,文勉
于懿,靜宜
于成龍,振甲
于振,鶴泉
于敏中,仲常,叔子,季重,文襄,素餘堂,耐圃,耐園,重常,重棠
于敖,蹈中
于文中,子和,景通
于文濤,少山
于文熙,元敬
于昌嶠,光宇
于昌耀,燕亭
于昌進,湘山
于昌遂,儀卿
于昌麟,壯勇,澄秋
于明,清之
于明寶,賡梅
于易簡,華平
于映垣,子平
于普源,佛舫
于曉霞,綺如
于月卿,蕊生
于有年,前渚,時泰,時秦
于有成,君錫
于朋舉,念劬,襄于
于材,國用
于東昶,湯谷,茲山
于枋,小謝
于格,伯永
于桓,子威
于梅,象明
于業,建公
于榮祖,耀先
于欽,致恭
于步瀛,英伯
于民新,子元
于永清,源潔
于汝錫,元福
于汧,蘆瞻
于沚,芷園
于沛霖,弘仁,陸阿
于泰來,履道
于浚,湘皋
于淵,光藻,邦齊
于清,潤泉
于渶,千水
于湛,瑩中,素齋
于準,世衡
于溱,本淸,東江
于滄瀾,海帆,訒葊
于演,佩遠
于漢翔,岸齋
于漣,桐江
于濆,子漪
于炳文,季文
于為儀,吉庵
于煥之,碧山,菊山
于燾,彭年
于玉立,中甫
于玠,君玉
于玭,册川,子珍
于琇,廷玉
于琨,勝斯,瑤圃
于琮,禮用
于琳,甘山,貞琳
于瑁,朝瑞
于瑢,鳴佩
于瑨,伯玉
于瑱,于達真,子充,子冲,完璞,達眞
于璉,桐江
于璋,文簡
于璠,玉峰
于瓌,匡德
于申,伯厚
于疏枚,卜臣
于登俊,明籲
于相德,梅軒,樹滋
于盼,蘭埜,蘭堂,蘭堃
于睿明,君臨
于知微,辯機
于石,介翁,兩溪,兩溪翁,紫巖
于祁,小宋
于祉,受甫,澹園,燕受
于立,彥成,虛白子
于立政,匡時
于立極,成公
于範,覺甫
于素安,蘭窗
于紹舜,剋承
于翰,思憲
于翼,文若
于耀南,星茹
于耀龍,獻廷
于耿光,景周,覲臣
于聰,十九,士達
于肇甲,五光
于胡魯承齡,叔度,大小雅堂,子久,尊生,淨業漁人,藏庵
于致紳,光廷,曉庵
于良鈞,和齋
于芢,心齋
于芳,鶴仙
于若瀛,子步,念東,文若
于茞,次蘭,茨蘭
于萬川,印波,會一
于蔚華,柏生,次仲
于蔭霖,悚齋,樾亭,次棠,芝塘,鶴皋草堂
于藻,文叔
于蘅霖,子堅,滋磵
于覺世,子先,赤山
于觀文,夢得
于觀貞,樵雲,盥溪
于觀霖,小蓮,慰農
于訓,文敎
于謙,廷益,忠愍,忠肅,節菴,肅愍
于豹文,虹亭
于賁,履謙
于賢,淑獻
于辰,北墅,向之
于逖,于十一
于遂古,前經
于邵,于召,德門,相門
于鄴,武陵
于鈞,石甫
于銘,少彝
于銘書,寶泉,潤齋
于銘訓,帛園,式之
于錦,實甫
于錫田,小蒲,小蓮
于鍾岳,伯英,西笑山房
于鍾霖,幼棠
于鏊,器之,雲心
于鐸,曉亭
于鑾,御君
于長華,田萃
于陽,子美
于隱,希榮
于雯峻,次公
于雲露,南浦
于震,孔安
于霖逢,澤春
于革,去非,竹田
于頎,休明
于頔,于二十九,允元
于養源,小堂
于鬯,醴尊,香草
于鯨,子長
于鰲圖,于鼇圖,伯麟,滄來,習靜軒,薜荔山房,靜夫,鰲頭,鼇圖
于鳳喈,世和
于鳳陽,凡民,梧岡
于鳳韶,訥庵,訥菴
于鵬翰,山白
于默,靜存
于鼎,健園,鏡兆
于鼎培,彝香
于鼎源,立三
于齊慶,海帆
亓珍,亓瑋
五兒,達道
五十六,正卿
五吉,伍吉
五哥,五格
五栻,南軒
五泰,坦園
五魯思不花,仲斌
井在,存士,鐵潭
井大源,汲沾
井奎,聯甫
井度,憲孟
井德用,容輔,鑑峯
井炫文,仙槎
井田,九疇
井睦,方思
井衛垣,御三,衡三
井鍾丹,亓鍾丹
亢先志,竹溪
亢勲,萬園
亢勳,萬園
亢家駿,筠坡,筠波
亢家騄,蘭初
亢思謙,子益,水陽
亢愫,乃心
亢棨森,晉和
亢樹柟,勺山
亢樹滋,倜卿
亢澄,晴溪,清溪,清谿
亦不剌金,仲達
亦思馬因,和卿
亦憐眞,毅齋
亦憐真,仲弘,毅齋
亦憐真班,忠獻
亦福的哈魯丁,忠簡
亦納脫脫,忠獻
亦速歹,鼎安
亦那木都魯明安圖,巴顏
亦都忽立,杏林
