# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
金麟厚,厚之,文靖,河西,湛齋
金麟孫,呈瑞
金麟至,聖應
金黼,用文,號竹泉生
金鼎,凝之
金鼎元,如山
金鼎台,台叟
金鼎臣,希尹
金鼎運,信甫,念庵
金鼎銘,子恭,樂利,益齋
金鼐,調生
金鼒,公器
金齊閔,士孝,忠剛,鰲峰
金龍澤,孤松齋,德雨
金𪷏,景時
鈎宏,元量
鈎昌期,應辰
鈔介,右賓
鈕㵢,啸琴,嘨琴
鈕亮,右庭
鈕嘉蔭,叔文,聞叔
鈕士秀,靜川
鈕大紳,書峯,書葊
鈕安,仲文
鈕應斗,惠師
鈕承棨,稚黃,蓮嗣
鈕格,少雅
鈕樹玉,匪石,匪石先生,匪石子,匪石居,匪石山人,匪石道人,藍田,藍石,非石,非石先生
鈕汝桂,辛人
鈕汝騏,駕仙
鈕清,宗源,錢清
鈕澤晟,寅身,稷臣
鈕濟亨,鼇在
鈕玉庚,潤生
鈕玲華,姍蓉
鈕琇,書城,玉樵
鈕祜祿伊爾登,伊尔登,宜尔登,忠直
鈕祜祿信勤,懷民
鈕祜祿信恪,立民
鈕祜祿吉倫泰,敬僖
鈕祜祿和珅,十笏園,嘉樂堂,綠野亭,致齋
鈕祜祿和琳,希齋,忠壯,芸香堂
鈕祜祿哈興阿,鈕祜錄哈興阿
鈕祜祿圖爾格,忠義
鈕祜祿對哈納,對喀納,文端
鈕祜祿尹德,愨敬,殷德
鈕祜祿布彥達賚,布顏達賚,恭勤,鈕祜祿沙海
鈕祜祿常績,勳舫,熙臺
鈕祜祿廣科,勤愨,勤殼心
鈕祜祿德齡,松如
鈕祜祿徹爾格,車爾格
鈕祜祿恭阿拉,勤士冗殳心,鈕祜祿鈕祜祿恭照
鈕祜祿成德,鈕呼魯成德
鈕祜祿拉哈達,喇哈達
鈕祜祿文瑞,芝亭
鈕祜祿景安,億山,憶山,深省堂
鈕祜祿格布舍,昭武
鈕祜祿格爾古德,宜亭,文淸,格尔古德,鐵面
鈕祜祿毓奇,玉奇,竹谿,鍾山,靜怡軒
鈕祜祿氏(清高宗母),孝圣憲皇后
鈕祜祿珠勒格德,珠爾格德
鈕祜祿瑚沙,吳沙
鈕祜祿瑞昌,忠壯,雲閣
鈕祜祿福慶,仲餘,蘭泉
鈕祜祿福昂,芷泉
鈕祜祿穆克登布,剛烈
鈕祜祿納爾察,端壯,納尔察
鈕祜祿索諾穆策凌,索諾木策凌,索諾穆策楞
鈕祜祿維慶,恪勤
鈕祜祿興長,興常,興昌
鈕祜祿豐昇額,誠武,豐盛額
鈕祜祿豐紳殷德,天爵,延禧堂,潤圃,潤甫,潤甫居士,豐伸殷德,豐伸音德
鈕祜祿超哈爾,果壯
鈕祜祿遏必隆,恪僖
鈕祜祿鄂木順額,復亭,復庭,晴雪,見吾
鈕祜祿金欽保,精欽保,鈕胡魯金欽保
鈕祜祿長清,勤毅
鈕祜祿阿里袞,松崖,果毅繼勇公,襄壯,雲巖
鈕祜祿陳泰,忠襄,辰泰
鈕祜祿霍隆武,果毅
鈕祜祿額亦都,額宜都
鈕福保,右申,松泉
鈕福嘉,鶴田
鈕福安,吉孫
鈕福寬,溥泉
鈕素,雪卿
鈕緝,仲文,十五,石溪
鈕翰城,霞峯
鈕良柱,石亭
鈕鈷祿薩迎阿,夢花齋,心太平室,恪僖,湘林,鈕祜祿薩迎阿,鈕祜錄薩迎阿
鈕鈷祿達爾黨阿,達勒當阿,達勒黨阿,達爾當阿,鈕祜祿達勒當阿,鈕祜祿達勒黨阿,鈕祜祿達爾黨阿
鈕飛熊,西崖,足園
鈕默,契真
鈺昶,仲明,珮卿,鶴痴
鉏育,雙橋
鉤宏,僧惠,元量,岳童,第三四
鉤昌期,慶孫,慶慶,應辰,第十二
銀中球,漢泉
銀文燦,光甫
銀沅,少季,少李
銀沆,少李
銘安,鼎臣
銘岳,東屏,瘦仙
銘恩,愷亭
銘通,明通
錢一本,啟新,啟新先生,國瑞,國端
錢一飛,其所,紹陽,翼天
錢三錫,宸安
錢丕,簡之
錢世揚,伯子,儞孝,孝成,景行,畸人,贅隅子
錢世敘,容堂
錢世燦,靜山
錢世瑞,柏芝,榆皋,蔚梧
錢世貴,聖霑
錢世賢,信夫
錢世銘,警齋
錢世錫,嗣伯,慈伯,百泉
錢世雄,氷華先生,濟明
錢丙曜,雲溪
錢中,文則
錢中諧,宮聲,庸亭
錢中選,瀛洲
錢之望,表臣
錢之燾,幼日
錢之芳,茞亭
錢之選,舜臣
錢之青,予蒲,于滿,子藩
錢之鼎,君鑄,翯彬,鶴山
錢乙,仲陽
錢九韶,南渟,太和
錢于鄰,震卿
錢亮,南郭,執夫
錢人傑,子仁,藙庵
錢人麟,借翁,服民,鑄庵
錢人龍,汝允,無咎
錢仁傑,伯英
錢仁夫,士弘,東湖,東湖先生
錢仁榮,協春,雨香
錢仁術,子推,謙謙子
錢仕,忠甫
錢仕秀,師竹
錢令嫻,幼靚
錢令暉,亞芬
錢令芬,冰仙,竹溪漁婦
錢以同,同生,小藍,桐蓀
錢以塏,恭恪,蔗山,閬行
錢以振,琳叔
錢以道,子原
錢仲淑,鹿君
錢仲益,允昇,永昇,碁仙,錦樹山人
錢仲鼎,德鈞
錢企會,護賓
錢伋,彥思
錢伯坰,僕射山人,僕射山樵,樵陂,漁陂,見南居士,野予,野余,魯思,魯斯,魯斯先生
錢伯言,遜叔
錢伯齡,介維,立山,鹿窗
錢佃,仲耕
錢作霖,秀巖,齊巖
錢佳選,升階,西齋
錢侍宸,杏君,香吾
錢侗,三鳳,同人,小泉來山館,樂斯堂,樂詩堂,蓬萊山館,趙堂,錢東野
錢俁,廷碩,惟大,維大
錢俊,時乂
錢俊選,嘯樓,宗啟
錢保塘,蘭陂,鐵江
錢保杭,仲濟,吟韋
錢俣,廷碩,惟大
錢俶,忠懿,文德,錢弘俶
錢傳薪,子楊
錢儀吉,仙蝶齋,太常仙蝶所止齋,學海堂,定廬,定廬居士,徵慎齋,心壺,新梧,星湖,石齋,萬蒼山樓,藹人,衎石,衎石齋,錢逵吉,雁影庵,靜讀學人,靜讀齋,颺山樓
錢億,伯壽
錢億年,伯壽
錢儼,誠允,質甫,錢信,錢弘信,雲心,靜宣
錢允元,繼山,虞佐
錢允弼,叔憲,錢永弼
錢允文,竹間,竹間先生
錢允濟,芷汀,雲咫
錢元亮,子鏡,眉士,鑒如
錢元修,安侯
錢元宰,六徹
錢元方,彥直
錢元昌,埜堂,朝採,益翁
錢元炆,半齋,苕夫
錢元球,錢傳球,錢元㺷
錢元瓘,文穆,明寶,錢傳瓘
錢元禧,少和
錢兆元,兆元
錢兆沆,蓼湑
錢兆閩,子藩
錢兆鵬,南溟,雲門
錢光弼,明仲
錢光甫,錢光普
錢光繡,聖月,蟄庵
錢公紀,叔度
錢公輔,君倚,純老
錢冶,良範
錢勖,子諒,揆初,素峰
錢勰,文肅,穆父
錢即,中道,忠定
錢卿藻,佩芬
錢厚,德載,惪德,惪載,竹巖嫩翁,竹巗嬾翁
錢厚貽,紅冰,鴻賓
錢友泗,四水子,學源
錢受益,謙之
錢受穀,黃與
錢受谷,冲齋,黃與
錢召棠,蘅儂,蘅漕
錢可則,正己
錢吉士,可亭
錢同壽,待烹生,復初
錢同愛,孔周,野亭
錢同文,大行
錢名世,亮功,亮工,絅庵,絅菴
錢向杲,仲謙,鶴岑
錢周材,元英
錢和,百宜
錢唐,惟明,錢塘
錢唐卿,元輔
錢啟宏,以仁
錢啟繒,仲綈
錢善揚,幾山,慎夫,順甫
錢善道,守素大師
錢喜起,賡明
錢嘉猷,敬承
錢國珍,子奇,寄廬
錢國瑞,蘅香,蘭香
錢國祥,乙生,南泉
錢坫,八奚居士,十六長樂堂,十蘭,卜蘭,文章大吉樓,月光居士,泉坫,浣花拜石軒,獻之,篆秋,篆秋草堂,跳蹁病夫,錢玷
錢基,又岩,右言
錢堂,朝昇
錢堯卿,熙載
錢塘,嚮山閣,四益齋,學淵,溉亭,禹美,虹舫,鶴原,默耕齋
錢墋,介臣,韋亭
錢增,敘川,淑川,漵川
錢士升,塞庵,塞菴,御冷,抑之,禦冷
錢士完,惟凝,繼修
錢士宜,廷舉,蘭齋
錢士晉,康侯,昭自
錢士杓,奎卿,奎淸,淸遠山人
錢士琳,仲玉
錢士賁,岩燭
錢士雲,昆浦,沛先,鶴皋,鶴皐,龍池
錢士驌,房仲,道生
錢士鰲,存庵,季梁,麓屏
錢士麟,仁山
錢夢齡,五峰,祚賢
錢夣得,國賢
錢大培,巽齋,樹棠
錢大復,漸庵,肇陽
錢大昕,十駕齋,及之,孱守齋,少詹,得自怡齋,晦之,曉徵,潛研堂,竹汀,竹汀居士,辛楣,餐柏齋
錢大昭,可廬,宏嗣,尊聞齋,得自怡齋,晦之,竹廬
錢大有,明遠
錢大椿,坦仲
錢大治,安之
錢大經,虞敦
錢大謨,颺亭
錢天挺,孑松
錢天樹,夢廬,子嘉,承培
錢天綱,仲紀
錢奎,公器
錢奐,文煥
錢如京,公溥,桐溪
錢妍,樂山
錢姑,惠烈夫人
錢孚威,講泰
錢孟鈿,冠之,浣青
錢季重,橫山,黃山
錢學,汝明
錢學孔,以時
錢學彬,質夫,質甫,采南
錢守廉,路石,雪瀾
錢守成,克賢
錢守璞,壽芝,蓮因
錢守讓,希仲
錢安,湘雲
錢安世,潔人,王功
錢安國,繼先
錢宏,可容,江樓
錢宏祖,字伯任
錢宗韓,學之,雨桐
錢官俊,枝臣,能軒
錢定壽,晉齋
錢宛蘭,卉玉
錢宛鸞,翔青
錢宜,在中
錢宰,伯均,子予
錢家吉,辛伯,辛生
錢寅,子虎
錢寶廉,湘吟,錢鋑道
錢寶昌,小卿,曉琴
錢寶林,萬青
錢寶琛,伯瑜,子獻,存素堂,楚玉,頤叟,頤壽老人
錢寶瑛,恭遠,慕遠
錢寶璜,夢鯤
錢寶青,初純,萍矼
錢封,松崖,軼秦
錢履坦,像啟,素園
錢山,靜夫
錢岱,汝瞻
錢岳,孟安
錢峙玉,翠峰
錢崇基,鑾坡
錢崇威,滌齋,自嚴,重修
錢崐陽,崙南
錢崑,若愚
錢嶧,六十,景魯
錢嶫,君望,平崖
錢希,夢龜
錢希憲,學山,學建
錢希言,簡棲,象先
錢希辯,慧明大師
錢希齡,扶風
錢師尊,唯傳,蕙窗
錢師義,士路
錢幹,文肅,習禮
錢府,允治,功父,功甫,少室山人
錢度,希裴,晉齋
錢庶,國徵
錢廉,東廬,稚廉
錢廓,叔因,錢擴
錢廷壽,魯齋
錢廷文,柳圃,樸安
錢廷枚,吉臣,容齋
錢廷烺,小謝
錢廷焞,凝臺,起山
錢廷煥,發公
錢廷熊,荻香
錢廷獻,南塘,我持
錢廷玉,溫甫
錢廷薰,品階,秋峴
錢弘佐,元祐,忠獻
錢弘倧,忠遜王,隆道
錢弘偡,恭義,惠達
錢弘儇,智仁,節惠,錢弘偁
錢弼,聖俞
錢彥遠,子高
錢從釋,淨照
錢復,北山
錢德培,琴齋,閏生
錢德承,慎菴
錢德昌,敬亭,筱雲
錢德洪,洪甫,緒山,緒山先生,錢寛
錢德盛,愚齋,虛齋
錢德謙,牧仲
錢德麟,貞淑
錢徹,玩塵
錢徽,蔚章
錢志澄,伊甫,淸士
錢志進,璞庵
錢志霖,築巖
錢忱,伯誠
錢念生,咀赮
錢思元,宗上,止庵
錢思敏,曉堂,魯田
錢恂,受茲堂主人,太公,念劬,積頤步齋,蹞步主人
錢悅,稷正
錢惟善,心白道人,思復,曲江居士
錢惟治,和世
錢惟演,希聖,文僖,文墨
錢惟濟,宣惠,巖夫
錢惟濬,禹川
錢惠尊,詵宜
錢慧安,吉生,淸溪樵子
錢慱,原慱
錢慶曾,又沂,浯溪居士
錢慶韶,文琴
錢應孫,字定之,定之
錢應庚,南金
錢應揚,俊民
錢應春,調源
錢應時,秉之
錢應晉,次卿
錢應溥,子密,恭勤,葆慎,閑靜居士,閒靜老人
錢我卿,好溪
錢承宗,安昌伯,榮僖
錢承德,世恆
錢承恩,震宇
錢抱素,子雲,素菴
錢拱宸,恭卿
錢振倫,楞仙
錢振常,仲彞,竾仙
錢振鍠,名山,夢鯨,庸人
錢捷,陶雲
錢揚,錢楊
錢撫,子立
錢敏,好學
錢文,章靖
錢文偉,景禕,蘭臺,費卿
錢文子,文季,白石先生,白石山人
錢文炌,綺園
錢文煌,晴崖
錢文煜,光遠
錢文驥,嘯洲,孟超
錢斐仲,餐霞
錢方琦,觀保,訪奇,駿華
錢日忠,牧堂
錢日斌,二曹,幸庵
錢昆,裕之
錢昌瑜,錢寶甫
錢昌祚,煦東,辛甫
錢昌穀,福田
錢昌言,岱雨
錢昌齡,寶甫
錢明逸,修懿,子飛
錢易,希白
錢易直,季莊,敬子,錢敬直
錢昕,景寅
錢春,應仁
錢春台,味笙,薇堂
錢春沂,一菴,一菴先生,仲與
錢昭序,著明
錢昭度,九齡
錢昱,東澗
錢時,中甫
錢時敏,端修
錢晉珏,瑤圃
錢晦,明叔
錢普,以德
錢普澐,來山,萊山
錢景,筍峯
錢景祥,孺文
錢景超,世功,十四
錢暄,載陽
錢暉,允輝
錢曇,曇筠,秦曇
錢曜,夏齋,震暘
錢曰布,載錫
錢曰銘,次先
錢曾,也是園,也是翁,小人齋,懷園,穴研齋,莪匪樓,貫花道人,述古堂,遵王,養生主室
錢月仙,吟霞,虞山女史
錢月輝,印川,如珪
錢有威,維重
錢有序,恕堂,認堂
錢朗,内光
錢朝彥,冲虛居士,用明
錢朝鼎,唐朝鼎,定九,禹九,黍谷,鼎九
錢木之,子升,子山
錢本中,德文
錢本誠,冑伊,冑尹
錢杜,叔美,松公,松壺,種庭
錢東,杲桑,玉魚生,袖海
錢東垣,三鳳,亦軒,勤有堂,可廬子,既勤,維豐草堂,繡藥軒,青華閣
錢林,叔雅,喜三福齋,志枚,東生,榕風荔雨軒,樂與餅室,玉山草堂,瓊膏冰齒齋,福林,竹醉亭,綠衫野屋,花笑軒,花紅玉白軒,蕙露松煙蘭風桂月軒,金叔,金粟,香粟士
錢枚,實庭,枚叔,謝庵,謝盦
錢栻,希南,次軒,真意齋,靜元,靜園
錢桂林,丹伯,南湖漁隱,香逸
錢桂森,月丹,素痴
錢桂發,小山,方五
錢桂笙,季薌,隱叟
錢梅林,叔和,雪峰
錢梓林,季良,敬庵
錢棠,召封,憩園
錢棣,本潮,毅庵
錢棨,振威,湘舲,湘靈,錢起
錢森,廷茂
錢植,雲門
錢楙潤,少彤,少彭
錢楚材,楚老
錢楩,八山
錢楷,範之
錢榆,四維
錢榮,世恩
錢榮光,藜樵
錢榮高,子欣,安尊
錢槱,誠甫
錢樸林,仲槱,樕園
錢樹,寶庭,梅簃
錢樹基,立夫
錢樾,撫堂,撫棠,黼堂,黼棠
錢檟,仲美,十四
錢欽浩,載川
錢正圜,榆村,芝生
錢氏,南宮縣君
錢氏(張希勝妻),錢昇
錢氏(辛棄疾妾),錢錢
錢民,子辰
錢永基,燭臣,竹溪子,艾亭
錢汋,錢約
錢汝恭,蔇齋,雨時
錢汝梁,用甫
錢汝誠,東麓,立之
錢汝霖,商隱,蕓戺,雲士
錢江,容山
錢泮,錢冸,雲江,鳴敎,鳴教,鳴聲
錢泰吉,冷齋,可讀書齋,深廬,甘泉鄉人,耆英堂,警石,讀舊書室,讀舊書生,輔宜,閒心靜居
錢泳,梅溪,立群
錢洪袠,景明
錢浩然,仲齋,集齋
錢涓,褧文
錢淑,冰如
錢淦,印霞,鏡如
錢淮,復君,馥君
錢淵龍,申叟
錢清,彦肅
錢清婉,韻梅
錢清履,慶徵,竹西
錢渻,子全
錢湘,季蘋
錢湧,季泉
錢源,有本
錢溥,九峰,原溥,文通,瀛洲遺叟
錢溯耆,伊臣,聽邠
錢潔,瑜素
錢潮,弩塘,逢原
錢潯,季宗
錢澄之,幼光,日閒老人,田間,田間老人,西頑,錢秉鐙,飲光
錢澍,天澤
錢澧,南園,東注
錢濟世,迂叟
錢濬,啟祥
錢灃,介石生,南園,南園先生,東注,東註,約甫
錢灝,景宗
錢炌,乂三,穉光
錢炎,丙兼
錢炘和,光宇,自山,香士
錢炳恆,子久
錢炳森,子方,東軒,芝舫
錢焜,韞章
錢煥,伯六,叔晦,靜窗
錢照,北橋,叔初,百三十八
錢熙,敬之
錢熙泰,子和,羼提,鱸香
錢熙經,心傳,漱六
錢熙輔,次丞,鼎卿
錢燮,梅軒,理天
錢燾,字南齋
錢爲嵩,少峰
錢爾復,仍始
錢爾登,叔喜,滌翁,蓉峰
錢玄同,仲季,德潛,疑古
錢玉,德輝
錢玉貞,怡亭
錢王炯,陳人,青文
錢玘,北亭,北臨
錢珂,擷芳
錢珊,鶴汀
錢珍,廷貴
錢珝,瑞文
錢珠,映川
錢珠若,敏庵
錢琦,映江,竺生
錢瑗,浣生,玉爰
錢瑛,可大
錢瑞,洞涇女史,雲衣
錢瑞徵,野鶴,髯公,髯翁,鶴庵
錢瑤鶴,子霞
錢璋,士宜,柔來
錢璜,伯夏,蒼水
錢璡,廷珍
錢璧,和玉
錢甦,伯與,更生,錢沂
錢用中,平階
錢用壬,成夫
錢登雲,倬甫,為章
錢百川,東之
錢皇后,孝莊
錢益,良輔
錢相,君玉
錢相初,申甫
錢真孫,巖老,淳父,真孫
錢祖壽,三峰,福先
錢祖憲,叔度
錢祚徵,君遠,節愍,錫吉,錫吾
錢祚昌,蘋嘉,辛軒
錢祝祺,松生
錢祿泰,漱青,魯詹
錢福,與謙
錢福元,崙仙,錢振倫
錢福履,芝仙
錢福昌,辰田
錢福炯,傳叟,祖耆
錢福煒,葵生
錢福胙,嘉錫,爾受,訒堂,錢福祚,錫嘉,雲岩
錢禹卿,仲謨
錢秉德,亦士,復齋
錢稚真,畹西女史,西畹
錢穀,文登
錢立,卓庵,守禮
錢端禮,忠肅,處和
錢竽,仲韶
錢策,葵園
錢節用,以貞
錢籍,汝載,海山
錢紉蕙,淸蔭居士,秋芳
錢素芬,瓊蘭
錢紳,伸仲
錢紹文,子宣,襄卿
錢紹隆,仲扶
錢綠雲,泉唐女史,素秋
錢維喬,樹參,竹初
錢維城,宗盟,宗磐,宗蒼,幼安,幼庵,文敏,稼軒,紉庵,茶山
錢維祺,仲祥,仲雲,伸雲
錢綱,孝常
錢綸光,廉江,珠淵
錢繹,三鳳,以成,信芳館,子樂,小廬,小廬居士,錢東墉
錢繼振,爾玉
錢繼登,爾先,龍門
錢繼章,爾斐
錢繼芬,伯芳
錢羔羊,升卿
錢義方,子宜
錢習禮,文肅,錢幹
錢聚仁,味根,本之
錢聚朝,曉廷,萬蒼山樵
錢聚瀛,斐仲,餐霞女史
錢聞詩,子立,子言,錢聞禮
錢肅凱,湛水
錢肅樂,希聲,忠介,忠節,止亭,止亭先生,虞孫
錢肅潤,季霖,礎日
錢肇修,杏山,石臣
錢肇熹,希文,敬亭
錢育仁,南鐵,安伯
錢育德,果臣,柯澄
錢能訓,幹丞,幹臣
錢致純,傑士
錢臻,淸安居士,潤齋,澤民
錢與齡,九英
錢興祖,國材
錢舉,少周,錢燾
錢良右,江村民,翼之
錢良擇,木庵,玉友
錢良棟,黃良棟
錢良猷,昶軒,迪軒
錢良臣,友魏,師魏,文惠
錢芝,佩芬
錢芬,左才
錢芳,申甫
錢芳肅,穉敬
錢芹,懋文
錢若水,宣靖,淡成,澹成,長卿
錢若賡,德咸
錢茂律,大呂
錢茂秦,沃皆
錢萬選,少張
錢萬頃,師元
錢萱,懋孝
錢葆青,仲仙
錢蔉,慕畬,懋登
錢蕙,凝香
錢薇,十四,懋垣,海石
錢藻,自文
錢蘅生,佩芬,杜香
錢衝,貴徐
錢衡同,南嶼,餒鴻
錢衮,去私
錢裕昌,茂滋,酉溪
錢複,吹蘭
錢觀復,正靜居士,知原
錢詩棣,誦三
錢詩楨,復三,憲民
錢誠基,肇鴻,雲根
錢誾,子言
錢謙益,優曇室,半野堂,受之,天子門生,如來真子,尚湖,尚湘,山滿樓,峨嵋老衲,徹修,拂水山莊,明發堂,東澗,東澗老人,東澗遺老,榮木樓,津逮軒,漁樵子,燕譽堂,牧翁,牧齋,玉蕊軒,石渠舊史,碧梧紅豆村莊,籛后人,紅樓山莊,紅豆山莊,絳雲樓,耦耕堂,聚沙居士,芙蓉莊,蒙叟,蓉江,虞山宗伯,虞山老民,虞山蒙叟,雙梅景閣,雲上軒
錢謙貞,履之,忍庵,耐翁
錢豐,彦和
錢象先,資元
錢象坤,弘載,文貞,麟武
錢象祖,伯同,止庵居士
錢豫章,漁莊
錢豫豐,琢菴
錢貞嘉,含章
錢貢,滄洲
錢貴,元抑
錢資深,原父
錢起,仲文,錢大
錢載,坤一
錢辰,秋潭,龠翁
錢述,稽穡
錢通,文達
錢進祿,桂香
錢逵,伯行
錢道乾,體仁
錢達,景通
錢遜,謙伯
錢選,小山,浩南
錢遹,德循
錢遹朋,錦江
錢邦偁,叔美
錢邦寅,馭少
錢邦彥,景山,治徵
錢邦芑,開少
錢邦達,豈聞
錢邦韶,海岳,虞少
錢重鼎,德鈞
錢金殿,靜寧室,鵠雲
錢金甫,瞻屺,越江
錢鈞,廉村,邦燦
錢鈞伯,均伯,訥蘧
錢鉞,大用
錢銘萃,允亭
錢鋑,平玉,湘吟
錢錄,宗政
錢錞,鳴叔,鶴洲
錢錦,織雲
錢錫保,艾林,韻園
錢錫寀,亮臣,惠仲
錢錫庚,夢蓮,景星
錢錫慶,堯臣,瑤仙
錢錫晉,夢昂,庶康,駟門
錢錫正,惜花居士,治臣
錢錫汝,寵伯
錢錫爵,古愚,子修
錢錫章,倚玉生,子彰,棣樓
錢錫箴,德恩,補園
錢鍈,澹人
錢鍾瑛,湘圃,蒲塘逸叟
錢鍾麟,紫雲
錢鎬,宗周
錢鎮,守中,澹庵
錢鏐,具美,婆留,武肅
錢鏞,用聲
錢鐸,振之
錢鑄,宗顏
錢鑅,紹雲
錢鑪,汝化
錢長清,澄谷
錢開仕,漆園,漆林,補之,靜讀齋
錢開宗,亢子
錢開震,少如
錢陛,如卿,臣扆,訥庵
錢陳羣,主敬,柘南,陳羣,香樹
錢陳群,主敬,文端,柘南,柘南居士,樹堂書房,錢陳羣,集齋,香樹,香樹齋
錢陸燦,圓沙,圓沙老書生,湘靈,爾弢
錢際時,淸仲
錢雲,泰窩道人
錢雲輝,織孫
錢震午,子嘉,第一
錢震孫,公茂
錢霍,去病
錢霖,小菊,小薌,澤遠
錢霙,季碩
錢靈修,湘音
錢靜娟,韻蕉
錢靜婉,淑儀
錢韓雲,景琦
錢韞素,定嫻
錢順德,道充
錢順時,道隆
錢顗,安道
錢馥,廣伯,綠窗
錢駿祥,新甫
錢騋,西來
錢驥,子良
錢體仁,少唐,準元
錢鯨,五十五,叔鳴
錢鳳綸,雲儀
錢鳴泰,梧岡
錢鴻文,蔚如,許章
錢鴻逵,子漸,幼輔,翔丞
錢鶴年,南江
錢麟書,史才,子端,立剛
錢默,梅谷
錢黯,書樵
錢鼎銘,定舫,敏肅,新之,調甫
錢鼒,德鉉
錢龍惕,夕公,子健,無聞子
錢龍錫,機山,稚文
錢龢,岊仲,岊甫
錦丕勒多爾濟,晉丕勒多爾濟,濟木丕勒多爾濟,金丕勒多爾濟
錦春,叔繡
錫元,命三,會一
錫宝齊篇古,正皇帝
錫恆,遠齋
錫恩,扆臣
錫拉布,希拉布,西喇布,錫喇布
錫拉那,西喇那,西拉納
錫旃,勉齋,建三
錫桐,閏生
錫榮,春圃
錫特庫,什特庫,席特庫,西忒庫,西特庫
錫珍,席卿
錫祉,子受,孟繁,申甫
錫純,厚庵,子默
錫鈞,聘之
錫麟,仁趾,晉齋
錫齡,遐菴,鶴亭
鍈珍,少湖,聘九
鍾一元,太初
鍾一明,希乾,養虛
鍾丁先,後覺
鍾世明,仕顯
鍾世耀,嘯溪
鍾世芳,惟馨,玄暢
鍾之樞,星環
鍾仁卿,子壽
鍾令嘉,守箴
鍾伷,公緒,少游
鍾作霖,民望
鍾佩賢,六英,小舲,鹿因
鍾依三多,六橋,可園,瓜園,鍾木依,鹿樵
鍾俊卿,子明
鍾保,鶴儕
鍾傳,弱翁,鍾傅
鍾儀傑,華峯
鍾儁,隸奴
鍾允復,大亨,繼原
鍾元贊,伯龢
鍾兆斗,乾所
鍾光豫,剛誌,南村
鍾克巳,淑吾
鍾其偉,偉度,卓然
鍾其碩,巍然
鍾動,天靜,薜生
鍾化民,忠惠,惟新,文陸,維新,鐘化民
鍾卿,懋敬
鍾友諒,明德
鍾同,世京,世亰,恭愍,恭敏
鍾唐傑(字),唐傑
鍾啟峋,伯平
鍾善經,理夫
鍾嗣成,繼先,醜齋
鍾國梁,大木
鍾國義,赤松
鍾大受,健菴
鍾大椿,壽若,幼勉,德椿
鍾大源,晴初,東海半人,篛溪
鍾大焜,德焜,香樵
鍾天棟,僑之,南屏
鍾天緯,鶴笙
鍾奭,子良
鍾如愚,師顏
鍾娘,桂仙
鍾子,唐傑
鍾孚吉,皆山
鍾孝國,觀光
鍾孟鴻,遇賓
鍾季玉,之純,鍾誠
鍾宇淳,道復
鍾守禮,南明
鍾宏,了齋,子虛,遠之
鍾宜之,仲行
鍾家彥,仲英,靜臣
鍾寶華,次珊,煥文,艸侍山,茌山,蒔山
鍾將之,仲山
鍾岳,堯俞
鍾峻,仲山
鍾崇文,仲謨
鍾崇武,季烈
鍾崇萱,慰堂
鍾師薦,維坤
鍾庚陽,長卿
鍾廣,子勤,楊鍾廣,楊鍾羲
鍾廣生,半園老人,遜盦
鍾廷揚,立亭
鍾廷瑛,仲瑋,退庵
鍾廷瑞,玉堂,輯庵,雪年
鍾廷華,映南
鍾律,伯紀
鍾復,弘彰,彥章,雲川
鍾德廣,涵川
鍾德祥,伯慈,艸耘翁,西耘
鍾快,居易
鍾性樸,文子
鍾恕,以行
鍾恩義,鍾思義
鍾恮,叔靜
鍾惺,伯敬,退公,退谷
鍾應麟,祥伯
鍾懷,保其,保岐,君子,竟庵,筑心館,興藝塾,菣厓,菣崖,覺庵,鍾褱
鍾懷智,愚庵,次三
鍾成,子完
鍾承祺,壽山,維田
鍾振,玉甫
鍾振鍈,仲鸞
鍾掄芳,半岩
鍾文俊,舜臣
鍾文傑,邦臣
鍾文奎,應明
鍾文標,半江
鍾文淑,學姑
鍾文烝,伯媺,伯美,信美室,博美,子勤,展才,朝美,殿才,言美齋,鍾文蒸
鍾文珍,原叔,本然,第三,華叔
鍾方,午亭,鍾芳
鍾旭,曉峯
鍾昌,仰山
鍾昞,煥甫
鍾晟,美宣
鍾晨,伯鎭
鍾曉,景暘
鍾朗,玉行
鍾朝煦,亟廬,致和
鍾柔,元剛
鍾梁,枬溪
鍾棐,子翼
鍾榮,田微
鍾欽禮,南越山人
鍾毓,棣香
鍾毓奇,少峰
鍾永,世昌
鍾汝正,弱幹
鍾汝茂,實如
鍾沂,宗魯
鍾清,素娘
鍾清彥,桂臣
鍾渤,元溥
鍾潛,孔昭
鍾炌,叔憲
鍾炤之,彥昭,彥炤,鍾照之
鍾烈,彥威,犢山,眉生
鍾珹,德卿
鍾琇,韞山
鍾琪,耳甫
鍾璂,拙邨
鍾璇,叔齊,振遠,藥圃隱房
鍾璜,懷莪
鍾瓘,良玉
鍾甬,迪勇
鍾畹,勵暇
鍾盤,希仁
鍾祁謨,兆圃
鍾祖浩,紫司,紫封
鍾祖芬,落落居士,雲舫
鍾祖誥,紫封,耑封
鍾祥謨,兆圃
鍾祥鳳,梧圊,梧罔
鍾禮,南越山人,欽禮
鍾秀穎,德宏
鍾秉德,雪峯,雪峰
鍾秉曾,沂川
鍾秉會,時舉
鍾穀,心卿
鍾穎,元達,符達,練塘
鍾穎林,端木,翠岩
